Hairstyle,Hair Color Name,Hair Color Hex,Reference Image URL,Prompt,Aspect Ratio,Output Filename
afro,blonde,#D1B26F,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,afro-blonde.png
afro,strawberry-blonde,#E6A273,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,afro-strawberry-blonde.png
afro,light-brown,#A4754A,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,afro-light-brown.png
afro,medium-brown,#7B4B2A,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,afro-medium-brown.png
afro,dark-brown,#523418,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,afro-dark-brown.png
afro,auburn,#8B3F2C,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,afro-auburn.png
afro,black,#2B2B2B,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,afro-black.png
afro,red,#C25E2E,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,afro-red.png
bun,blonde,#D1B26F,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,bun-blonde.png
bun,strawberry-blonde,#E6A273,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,bun-strawberry-blonde.png
bun,light-brown,#A4754A,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,bun-light-brown.png
bun,medium-brown,#7B4B2A,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,bun-medium-brown.png
bun,dark-brown,#523418,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,bun-dark-brown.png
bun,auburn,#8B3F2C,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,bun-auburn.png
bun,black,#2B2B2B,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,bun-black.png
bun,red,#C25E2E,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,bun-red.png
curly-long,blonde,#D1B26F,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,curly-long-blonde.png
curly-long,strawberry-blonde,#E6A273,{REFERENCE_IMAGE_URL},Recolor the hair in the reference image to exactly {HAIR_COLOR_HEX}. Keep everything else identical - only change the hair color. The hair should be a solid, uniform color matching {HAIR_COLOR_HEX} exactly.,1:1,curly-long-strawberry-blonde.png
